Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aas Julie,5661383,18,Norge,Vrouw,860,Zonder specialiteit,15,1,15,159,56,[],14,2,2,3,2,10,3,0,0
Onbekend,Aase Birger,5660571,23,Norge,Man,700,Zonder specialiteit,12,1,15,178,76,[],18,2,2,2,8,3,1,0,0
Onbekend,Ababou Isko,5660579,22,Pilipinas,Man,470,Zonder specialiteit,13,1,15,182,79,[],17,4,1,3,5,3,2,0,0
Onbekend,Abad Olimpia,5653064,16,España,Vrouw,760,Springers,16,1,14,163,56,"[('Hoogspringen', '0.54 m', '0', 8), ('Polsstokhoogspringen', '1.37 m', '0', 8), ('Verspringen', '2.43 m', '69', 8), ('Hinkstapspringen', '4.13 m', '0', 8)]",6,3,1,9,3,6,2,7,6
Onbekend,Abaza Sabeen,5659551,16,Miṣr,Vrouw,310,Zonder specialiteit,16,1,14,173,63,[],14,6,1,6,5,3,3,0,0
Onbekend,Abdilla Manwel,5656621,14,Malta,Man,1010,Werpers,13,1,14,171,66,"[('Kogelstoten', '4.80 m', '0', 8), ('Discuswerpen', '18.73 m', '0', 8), ('Kogelslingeren', '18.85 m', '0', 8), ('Speerwerpen', '22.25 m', '0', 8)]",11,1,3,3,1,2,10,4,7
Onbekend,Abdul Salam Adiputeri,5658676,24,Malaysia,Vrouw,1140,Zonder specialiteit,14,1,15,179,74,[],18,3,2,0,8,2,8,0,0
Onbekend,Abrahams Warren,5661587,19,Jamaica,Man,1460,Zonder specialiteit,16,1,15,175,74,[],19,2,1,10,0,1,6,0,0
Onbekend,Acevedo Gabriela,5658681,16,Costa Rica,Vrouw,500,Zonder specialiteit,18,1,14,161,57,[],10,1,1,1,9,3,1,0,0
Onbekend,Acosta Caleb,5635741,15,United States,Man,320,Langeafstandslopers,13,1,16,164,68,"[('5.000 meter', '18:29.24', '424', 8), ('10.000 meter', '42:52.57', '408', 8), ('Marathon', '2h:54:57.15', '465', 8)]",13,3,4,3,1,1,3,5,7
Onbekend,Acosta Juan,5660122,14,Colombia,Man,50,Zonder specialiteit,19,1,14,159,62,[],7,3,1,0,2,1,3,0,0
Onbekend,Adami Heinrich,5661199,19,Switzerland,Man,1210,Zonder specialiteit,15,1,15,175,81,[],16,3,10,3,4,0,1,0,0
Onbekend,Adami Wendy,5660418,24,Malta,Vrouw,160,Zonder specialiteit,17,1,15,182,77,[],12,1,0,6,1,2,6,0,0
Onbekend,Adamkienė Irina,5661279,22,Lietuva,Vrouw,490,Zonder specialiteit,16,1,15,169,67,[],14,1,7,1,3,7,3,0,0
Onbekend,Adamkienė Meilė,5661461,21,Lietuva,Vrouw,620,Zonder specialiteit,15,1,15,172,70,[],14,9,0,1,2,2,1,0,0
Onbekend,Adamović Emilija,5658600,18,Srbija,Vrouw,490,Zonder specialiteit,20,1,15,157,52,[],13,6,8,3,2,2,6,0,0
Onbekend,Adamus Bronislav,5660374,17,Slovensko,Man,120,Zonder specialiteit,20,1,14,185,83,[],6,1,6,4,3,2,3,0,0
Onbekend,Adnyana Hendra,5660889,23,Indonesia,Man,780,Zonder specialiteit,20,1,15,186,85,[],16,6,3,3,2,7,8,0,0
Onbekend,Adriaensens Chelsea,5660434,15,België,Vrouw,1620,Sprinters,11,1,15,168,61,[],20,2,3,4,9,2,2,6,6
Onbekend,Advocaat Berend,5659955,17,Nederland,Man,270,Zonder specialiteit,11,1,15,177,76,[],7,3,3,8,2,2,2,0,0
Onbekend,Advocaat Brigit,5659576,14,Nederland,Vrouw,110,Zonder specialiteit,12,1,14,144,43,[],12,3,1,2,3,1,2,0,0
Onbekend,Advocaat Talita,5659725,15,Nederland,Vrouw,130,Zonder specialiteit,12,1,14,154,51,[],13,2,2,2,4,3,1,0,0
