Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aas Julie,5661383,18,Norge,Vrouw,860,Zonder specialiteit,15,1,15,159,56,[],14,2,2,3,2,10,3,0,0
Onbekend,Aase Birger,5660571,23,Norge,Man,700,Zonder specialiteit,12,1,15,178,76,[],18,2,2,2,8,3,1,0,0
Onbekend,Aavikko Hannele,5661753,16,Suomi,Vrouw,110,Zonder specialiteit,18,1,15,172,63,[],11,3,3,5,2,1,1,0,0
Onbekend,Ababou Isko,5660579,22,Pilipinas,Man,470,Zonder specialiteit,13,1,15,182,79,[],17,4,1,3,5,3,2,0,0
Onbekend,Abadie Moktar,5599786,19,France,Man,1330,Werpers,20,2,17,170,67,"[('Kogelstoten', '5.90 m', '0', 8), ('Discuswerpen', '23.05 m', '0', 8), ('Kogelslingeren', '23.13 m', '0', 8), ('Speerwerpen', '25.30 m', '0', 8)]",18,3,2,2,1,3,8,9,5
Hoogspringen,Abela Lisa,5212976,31,Malta,Vrouw,3000,Springers,16,11,11,163,57,"[('Hoogspringen', '0.74 m', '60', 8), ('Polsstokhoogspringen', '1.82 m', '113', 8), ('Verspringen', '2.62 m', '119', 8), ('Hinkstapspringen', '5.11 m', '105', 8)]",20,1,0,2,6,8,0,7,9
Onbekend,Āboltiņš Jāzeps,5662160,16,Latvija,Man,470,Zonder specialiteit,18,1,15,165,60,[],10,1,2,1,1,2,9,0,0
Onbekend,Abrahams Warren,5661587,19,Jamaica,Man,1460,Zonder specialiteit,16,1,15,175,74,[],19,2,1,10,0,1,6,0,0
Onbekend,Adami Heinrich,5661199,19,Switzerland,Man,1210,Zonder specialiteit,15,1,15,175,81,[],16,3,10,3,4,0,1,0,0
20 km snelwandelen,Adami Sonia,5101040,31,Malta,Vrouw,9260,Snelwandelaars,20,9,13,180,69,"[('10 km snelwandelen', '1h:01:45.44', '868', 8), ('20 km snelwandelen', '2h:01:38.72', '897', 8), ('50 km snelwandelen', '4h:59:51.36', '860', 8)]",19,2,14,1,3,1,0,12,10
Onbekend,Adami Wendy,5660418,24,Malta,Vrouw,160,Zonder specialiteit,17,1,15,182,77,[],12,1,0,6,1,2,6,0,0
Onbekend,Adamiec Remigiusz,5653171,15,Polska,Man,1040,Werpers,11,1,13,165,66,"[('Kogelstoten', '5.17 m', '0', 8), ('Discuswerpen', '21.13 m', '0', 8), ('Kogelslingeren', '20.72 m', '0', 8), ('Speerwerpen', '23.56 m', '0', 8)]",9,2,7,3,3,1,10,7,6
Onbekend,Adamkienė Irina,5661279,22,Lietuva,Vrouw,490,Zonder specialiteit,16,1,15,169,67,[],14,1,7,1,3,7,3,0,0
Onbekend,Adamkienė Meilė,5661461,21,Lietuva,Vrouw,620,Zonder specialiteit,15,1,15,172,70,[],14,9,0,1,2,2,1,0,0
Onbekend,Adamus Bronislav,5660374,17,Slovensko,Man,120,Zonder specialiteit,20,1,14,185,83,[],6,1,6,4,3,2,3,0,0
Onbekend,Adnyana Hendra,5660889,23,Indonesia,Man,780,Zonder specialiteit,20,1,15,186,85,[],16,6,3,3,2,7,8,0,0
Onbekend,Adriaensens Chelsea,5660434,15,België,Vrouw,1620,Sprinters,11,1,15,168,61,"[('100 meter', '15.12 s', '601', 9), ('200 meter', '30.33 s', '548', 9), ('400 meter', '1:09.46', '593', 9), ('100 meter horden', '21.24 s', '652', 9), ('400 meter horden', '1:17.95', '713', 9)]",20,2,3,4,9,2,2,6,6
Onbekend,Advocaat Brigit,5659576,14,Nederland,Vrouw,110,Zonder specialiteit,12,1,14,144,43,[],12,3,1,2,3,1,2,0,0
Onbekend,Afanasyeva Varvara,5661002,16,Rossiya,Vrouw,340,Zonder specialiteit,14,1,15,155,52,[],11,1,2,1,1,8,6,0,0
