Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Äärilä Vilma,5664230,17,Suomi,Vrouw,340,Zonder specialiteit,18,1,15,166,64,[],8,7,7,2,3,6,2,0,0
Onbekend,Abadía Paul,5642865,16,España,Man,900,Werpers,16,1,13,186,87,"[('Kogelstoten', '6.01 m', '0', 9), ('Discuswerpen', '22.44 m', '0', 9), ('Kogelslingeren', '23.51 m', '0', 9), ('Speerwerpen', '25.00 m', '0', 9)]",16,6,1,1,9,4,1,7,4
Onbekend,Abarrientos Rizalyn,5665414,21,Pilipinas,Vrouw,410,Zonder specialiteit,11,1,15,169,62,[],9,2,9,3,3,3,6,0,0
Onbekend,Abdala Patrick,5634120,15,Brasil,Man,490,Sprinters,14,1,15,177,79,"[('100 meter', '13.92 s', '600', 10), ('200 meter', '27.72 s', '649', 10), ('400 meter', '1:01.13', '713', 10), ('110 meter horden', '20.64 s', '693', 10), ('400 meter horden', '1:09.56', '786', 10)]",12,3,5,7,7,3,2,5,5
Onbekend,Abdillah Mad,5663508,15,Malaysia,Man,210,Zonder specialiteit,18,1,15,176,73,[],14,2,1,1,2,5,3,0,0
Onbekend,Abejuela Ginés,5613640,17,España,Man,30,Zonder specialiteit,16,1,12,178,78,[],6,3,2,3,3,1,3,0,0
Onbekend,Abela Samira,5664844,15,Malta,Vrouw,1380,Werpers,13,1,15,163,59,[],20,9,0,1,4,1,0,5,5
Onbekend,Ābele Natālija,5663799,17,Latvija,Vrouw,110,Zonder specialiteit,17,1,15,169,63,[],9,2,2,2,3,2,6,0,0
Onbekend,Ablanedo Cecilia,5663981,16,España,Vrouw,600,Zonder specialiteit,20,1,15,172,67,[],16,7,2,7,1,2,1,0,0
Onbekend,Ablanedo Miren,5570975,17,España,Vrouw,820,Sprinters,20,2,19,165,71,"[('100 meter', '14.91 s', '638', 10), ('200 meter', '29.73 s', '602', 10), ('400 meter', '1:08.33', '636', 10), ('100 meter horden', '21.21 s', '656', 10), ('400 meter horden', '1:17.80', '718', 10)]",9,1,1,7,1,1,4,9,6
Onbekend,Abouzeid Astarte,5663224,18,Miṣr,Vrouw,740,Zonder specialiteit,17,1,14,168,58,[],9,2,8,0,9,3,1,0,0
Onbekend,Abrahamian Vanessa,5664792,15,Sverige,Vrouw,360,Zonder specialiteit,16,1,15,169,62,[],16,4,1,1,1,1,1,0,0
Onbekend,Abrahamse Nontando,5663502,15,South Africa,Vrouw,240,Zonder specialiteit,20,1,15,162,54,[],11,1,3,2,2,2,7,0,0
Onbekend,Abugeau Annette,5660665,15,France,Vrouw,360,Snelwandelaars,18,1,15,161,53,"[('10 km snelwandelen', '1h:08:56.21', '589', 9), ('20 km snelwandelen', '2h:17:49.88', '582', 9), ('50 km snelwandelen', '5h:41:05.54', '529', 9)]",9,1,7,1,6,3,5,6,6
Onbekend,Acevedo Carlotta,5662993,21,Chile,Vrouw,340,Zonder specialiteit,14,1,15,179,78,[],7,3,1,2,8,1,2,0,0
Onbekend,Acevedo Lily,5664234,16,United States,Vrouw,1580,Springers,11,1,15,153,51,[],20,3,2,3,2,8,1,6,7
Onbekend,Acosta Irati,5636422,17,España,Vrouw,860,Werpers,20,1,17,170,73,"[('Kogelstoten', '7.58 m', '28', 9), ('Discuswerpen', '27.23 m', '63', 9), ('Kogelslingeren', '24.66 m', '51', 9), ('Speerwerpen', '23.46 m', '102', 9)]",12,6,1,3,0,2,9,7,6
Vijfkamp Mannen,Adams Brooke,4988668,34,New Zealand,Man,7700,Meerkampers,20,13,18,177,65,"[('Vijfkamp Mannen - Verspringen', '4.43 m', '692', 10), ('Vijfkamp Mannen - Speerwerpen', '37.13 m', '596', 10), ('Vijfkamp Mannen - 200 meter', '25.31 s', '830', 10), ('Vijfkamp Mannen - Discuswerpen', '31.57 m', '532', 10), ('Vijfkamp Mannen - 1500 meter', '4:29.60', '785', 10), ('Tienkamp - 100 meter', '12.92 s', '742', 10), ('Tienkamp - Verspringen', '4.24 m', '663', 10), ('Tienkamp - Kogelstoten', '8.75 m', '495', 10), ('Tienkamp - Hoogspringen', '0.92 m', '547', 10), ('Tienkamp - 400 meter', '58.09 s', '781', 10), ('Tienkamp - 110 meter horden', '19.73 s', '717', 10), ('Tienkamp - Discuswerpen', '32.16 m', '542', 10), ('Tienkamp - Polsstokhoogspringen', '2.75 m', '580', 10), ('Tienkamp - Speerwerpen', '35.52 m', '570', 10), ('Tienkamp - 1500 meter', '4:37.13', '709', 10), ('Vijfkamp Mannen', '3435 p', '687', 10), ('Tienkamp', '6346 p', '635', 10)]",20,8,4,6,4,3,1,11,12
Onbekend,Adams Peter,5663438,15,Ireland,Man,770,Zonder specialiteit,20,1,15,167,69,[],14,2,2,10,2,1,1,0,0
100 meter,Adamska Julia,5008217,34,Polska,Vrouw,13810,Sprinters,16,9,16,166,53,"[('100 meter', '13.89 s', '818', 10), ('200 meter', '28.35 s', '726', 10), ('400 meter', '1:03.42', '826', 10), ('100 meter horden', '20.23 s', '777', 10), ('400 meter horden', '1:15.60', '790', 10)]",16,4,0,17,0,0,0,5,5
Onbekend,Adán Juana,5648400,17,España,Vrouw,1520,Springers,19,1,14,175,69,"[('Hoogspringen', '0.73 m', '52', 9), ('Polsstokhoogspringen', '1.76 m', '90', 9), ('Verspringen', '2.58 m', '109', 9), ('Hinkstapspringen', '5.18 m', '114', 9)]",18,3,0,0,3,10,2,7,8
Onbekend,Ader Triin,5663861,15,Eesti,Vrouw,600,Zonder specialiteit,16,1,15,168,63,[],8,2,3,3,3,9,2,0,0
