Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aase Birger,5660571,23,Norge,Man,700,Zonder specialiteit,12,1,15,178,76,[],18,2,2,2,8,3,1,0,0
Onbekend,Ababou Isko,5660579,22,Pilipinas,Man,470,Zonder specialiteit,13,1,15,182,79,[],17,4,1,3,5,3,2,0,0
Onbekend,Abad Olimpia,5653064,16,España,Vrouw,760,Springers,16,1,14,163,56,"[('Hoogspringen', '0.55 m', '0', 7), ('Polsstokhoogspringen', '1.38 m', '0', 7), ('Verspringen', '2.51 m', '90', 7), ('Hinkstapspringen', '4.01 m', '0', 7)]",6,3,1,9,3,6,2,7,6
Onbekend,Abaza Sabeen,5659551,16,Miṣr,Vrouw,310,Zonder specialiteit,16,1,14,173,63,[],14,6,1,6,5,3,3,0,0
Onbekend,Abdilla Manwel,5656621,14,Malta,Man,1010,Werpers,13,1,14,171,66,"[('Kogelstoten', '4.60 m', '0', 7), ('Discuswerpen', '18.84 m', '0', 7), ('Kogelslingeren', '18.62 m', '0', 7), ('Speerwerpen', '22.47 m', '0', 7)]",11,1,3,3,1,2,10,4,7
Onbekend,Abdul Salam Adiputeri,5658676,24,Malaysia,Vrouw,1140,Zonder specialiteit,14,1,15,179,74,[],18,3,2,0,8,2,8,0,0
Onbekend,Acevedo Claudia,5658289,17,Costa Rica,Vrouw,630,Zonder specialiteit,19,1,14,166,59,[],17,1,2,2,3,1,8,0,0
Onbekend,Acevedo Gabriela,5658681,16,Costa Rica,Vrouw,500,Zonder specialiteit,18,1,14,161,57,[],10,1,1,1,9,3,1,0,0
Onbekend,Acharya Pravin,5658098,19,India,Man,400,Zonder specialiteit,15,1,15,187,84,[],9,2,2,2,9,2,5,0,0
Onbekend,Acosta Caleb,5635741,15,United States,Man,320,Langeafstandslopers,13,1,16,164,68,"[('5.000 meter', '18:29.24', '424', 8), ('10.000 meter', '42:52.57', '408', 8), ('Marathon', '2h:54:57.15', '465', 8)]",13,3,4,3,1,1,3,5,7
Onbekend,Acosta Juan,5660122,14,Colombia,Man,50,Zonder specialiteit,19,1,14,159,62,[],7,3,1,0,2,1,3,0,0
Onbekend,Adami Wendy,5660418,24,Malta,Vrouw,160,Zonder specialiteit,17,1,15,182,77,[],12,1,0,6,1,2,6,0,0
Onbekend,Adamović Emilija,5658600,18,Srbija,Vrouw,490,Zonder specialiteit,20,1,15,157,52,[],13,6,8,3,2,2,6,0,0
Onbekend,Adamus Bronislav,5660374,17,Slovensko,Man,120,Zonder specialiteit,20,1,14,185,83,[],6,1,6,4,3,2,3,0,0
Onbekend,Advocaat Berend,5659955,17,Nederland,Man,270,Zonder specialiteit,11,1,15,177,76,[],7,3,3,8,2,2,2,0,0
Onbekend,Advocaat Brigit,5659576,14,Nederland,Vrouw,110,Zonder specialiteit,12,1,14,144,43,[],12,3,1,2,3,1,2,0,0
Onbekend,Advocaat Talita,5659725,15,Nederland,Vrouw,130,Zonder specialiteit,12,1,14,154,51,[],13,2,2,2,4,3,1,0,0
Onbekend,Adyaksa Dayana,5658089,17,Indonesia,Vrouw,540,Zonder specialiteit,12,1,14,167,63,[],12,2,3,1,9,1,1,0,0
Onbekend,Afonso Telma,5620005,15,Brasil,Vrouw,950,Springers,20,1,17,168,68,"[('Hoogspringen', '0.75 m', '69', 7), ('Polsstokhoogspringen', '1.86 m', '128', 7), ('Verspringen', '2.76 m', '157', 7), ('Hinkstapspringen', '5.17 m', '113', 7)]",11,3,1,3,3,9,2,8,7
Onbekend,Afouras Antinoos,5651972,17,Hellas,Man,620,Middenafstandslopers,17,1,15,165,65,"[('800 meter', '2:31.56', '556', 8), ('1.500 meter', '4:59.69', '562', 8), ('3.000 meter steeplechase', '14:54.98', '565', 8)]",18,2,5,2,2,2,2,5,4
Onbekend,Aggonas Argiris,5660151,19,Cyprus,Man,690,Zonder specialiteit,12,1,14,189,92,[],11,8,2,3,1,1,9,0,0
Onbekend,Agostinelli Michelangelo,5620517,17,Italia,Man,1830,Springers,20,1,16,187,88,"[('Hoogspringen', '0.99 m', '204', 7), ('Polsstokhoogspringen', '2.57 m', '165', 7), ('Verspringen', '3.61 m', '203', 7), ('Hinkstapspringen', '7.00 m', '160', 7)]",18,2,1,2,4,9,2,7,9
Onbekend,Águas Júlia,5659383,15,Portugal,Vrouw,580,Meerkampers,18,1,15,170,63,[],15,8,1,2,3,6,2,6,5
