Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aas Julie,5661383,18,Norge,Vrouw,860,Zonder specialiteit,15,1,14,159,56,[],14,2,2,3,2,10,3,0,0
Onbekend,Aavikko Hannele,5661753,16,Suomi,Vrouw,110,Zonder specialiteit,17,1,15,172,63,[],11,3,3,5,2,1,1,0,0
Onbekend,Abadie Moktar,5599786,19,France,Man,1350,Werpers,20,2,18,170,67,"[('Kogelstoten', '5.90 m', '0', 8), ('Discuswerpen', '23.05 m', '0', 8), ('Kogelslingeren', '23.13 m', '0', 8), ('Speerwerpen', '25.30 m', '0', 8)]",18,3,2,2,1,3,8,9,5
Onbekend,Abdillah Mad,5663508,15,Malaysia,Man,210,Zonder specialiteit,18,1,15,176,73,[],14,2,1,1,2,5,3,0,0
Hinkstapspringen,Abeijón Josué,5123572,32,España,Man,5860,Springers,20,12,15,180,79,"[('Hoogspringen', '1.33 m', '471', 9), ('Polsstokhoogspringen', '3.65 m', '477', 9), ('Verspringen', '4.90 m', '482', 9), ('Hinkstapspringen', '10.30 m', '507', 9)]",15,1,1,0,10,11,1,10,10
Hoogspringen,Abela Lisa,5212976,31,Malta,Vrouw,3000,Springers,16,11,11,163,56,"[('Hoogspringen', '0.73 m', '52', 9), ('Polsstokhoogspringen', '1.76 m', '90', 9), ('Verspringen', '2.59 m', '111', 9), ('Hinkstapspringen', '5.25 m', '124', 9)]",20,1,0,2,6,8,0,7,9
Onbekend,Ābele Natālija,5663799,17,Latvija,Vrouw,110,Zonder specialiteit,17,1,15,169,63,[],9,2,2,2,3,2,6,0,0
Onbekend,Āboltiņš Jāzeps,5662160,16,Latvija,Man,470,Zonder specialiteit,19,1,15,165,60,[],10,1,2,1,1,2,9,0,0
Onbekend,Abouzeid Astarte,5663224,18,Miṣr,Vrouw,740,Zonder specialiteit,17,1,14,168,58,[],9,2,8,0,9,3,1,0,0
Onbekend,Abrahams Warren,5661587,19,Jamaica,Man,1460,Zonder specialiteit,17,1,15,175,73,[],19,2,1,10,0,1,6,0,0
Onbekend,Abrahamse Nontando,5663502,15,South Africa,Vrouw,240,Zonder specialiteit,20,1,15,162,54,[],11,1,3,2,2,2,7,0,0
Onbekend,Abramowicz Karol,5655629,17,Polska,Man,730,Meerkampers,16,1,14,178,82,"[('Vijfkamp Mannen - Verspringen', '2.70 m', '422', 9), ('Vijfkamp Mannen - Speerwerpen', '24.65 m', '396', 9), ('Vijfkamp Mannen - 200 meter', '27.37 s', '612', 9), ('Vijfkamp Mannen - Discuswerpen', '22.15 m', '373', 9), ('Vijfkamp Mannen - 1500 meter', '4:54.93', '530', 9), ('Tienkamp - 100 meter', '13.70 s', '576', 9), ('Tienkamp - Verspringen', '2.71 m', '423', 9), ('Tienkamp - Kogelstoten', '5.87 m', '332', 9), ('Tienkamp - Hoogspringen', '0.50 m', '297', 9), ('Tienkamp - 400 meter', '1:00.79', '654', 9), ('Tienkamp - 110 meter horden', '20.82 s', '563', 9), ('Tienkamp - Discuswerpen', '21.88 m', '369', 9), ('Tienkamp - Polsstokhoogspringen', '1.51 m', '318', 9), ('Tienkamp - Speerwerpen', '25.20 m', '405', 9), ('Tienkamp - 1500 meter', '4:55.68', '522', 9), ('Vijfkamp Mannen', '2333 p', '467', 9), ('Tienkamp', '4459 p', '446', 9)]",8,6,3,8,2,1,3,8,5
Onbekend,Acevedo Carlotta,5662993,21,Chile,Vrouw,340,Zonder specialiteit,14,1,15,179,78,[],7,3,1,2,8,1,2,0,0
Onbekend,Acharjee Assam Satyam,5663347,24,India,Vrouw,50,Zonder specialiteit,13,1,15,164,65,[],7,1,2,2,0,3,2,0,0
Onbekend,Adami Heinrich,5661199,19,Switzerland,Man,1210,Zonder specialiteit,15,1,14,175,81,[],16,3,10,3,4,0,1,0,0
20 km snelwandelen,Adami Sonia,5101040,31,Malta,Vrouw,9260,Snelwandelaars,20,9,13,180,69,"[('10 km snelwandelen', '1h:02:46.32', '828', 9), ('20 km snelwandelen', '2h:03:39.17', '858', 9), ('50 km snelwandelen', '5h:01:02.24', '851', 9)]",19,2,14,1,3,1,0,12,10
Onbekend,Adamiec Remigiusz,5653171,15,Polska,Man,1060,Werpers,12,1,15,166,67,"[('Kogelstoten', '5.17 m', '0', 8), ('Discuswerpen', '21.13 m', '0', 8), ('Kogelslingeren', '20.72 m', '0', 8), ('Speerwerpen', '23.56 m', '0', 8)]",9,2,7,3,3,1,10,7,6
Onbekend,Adamkienė Irina,5661279,22,Lietuva,Vrouw,480,Zonder specialiteit,16,1,14,169,67,[],14,1,7,1,3,7,3,0,0
