Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aas Julie,5661383,18,Norge,Vrouw,860,Zonder specialiteit,15,1,15,159,56,[],14,2,2,3,2,10,3,0,0
Onbekend,Aase Birger,5660571,23,Norge,Man,700,Zonder specialiteit,12,1,15,178,76,[],18,2,2,2,8,3,1,0,0
Onbekend,Aavikko Hannele,5661753,16,Suomi,Vrouw,110,Zonder specialiteit,18,1,15,172,63,[],11,3,3,5,2,1,1,0,0
Onbekend,Ababou Isko,5660579,22,Pilipinas,Man,470,Zonder specialiteit,13,1,15,182,79,[],17,4,1,3,5,3,2,0,0
Onbekend,Abadie Moktar,5599786,19,France,Man,1330,Werpers,20,2,17,170,67,"[('Kogelstoten', '5.90 m', '0', 8), ('Discuswerpen', '23.05 m', '0', 8), ('Kogelslingeren', '23.13 m', '0', 8), ('Speerwerpen', '25.30 m', '0', 8)]",18,3,2,2,1,3,8,9,5
Hinkstapspringen,Abeijón Josué,5123572,32,España,Man,5840,Springers,19,12,13,180,78,"[('Hoogspringen', '1.33 m', '471', 8), ('Polsstokhoogspringen', '3.71 m', '495', 8), ('Verspringen', '4.79 m', '458', 8), ('Hinkstapspringen', '10.07 m', '483', 8)]",15,1,1,0,10,11,1,10,10
Hoogspringen,Abela Lisa,5212976,31,Malta,Vrouw,3000,Springers,16,11,11,163,57,"[('Hoogspringen', '0.74 m', '60', 8), ('Polsstokhoogspringen', '1.82 m', '113', 8), ('Verspringen', '2.62 m', '119', 8), ('Hinkstapspringen', '5.11 m', '105', 8)]",20,1,0,2,6,8,0,7,9
Onbekend,Āboltiņš Jāzeps,5662160,16,Latvija,Man,470,Zonder specialiteit,18,1,15,165,60,[],10,1,2,1,1,2,9,0,0
Onbekend,Abrahams Warren,5661587,19,Jamaica,Man,1460,Zonder specialiteit,16,1,15,175,74,[],19,2,1,10,0,1,6,0,0
Onbekend,Abramowicz Karol,5655629,17,Polska,Man,720,Meerkampers,15,1,13,177,81,"[('Vijfkamp Mannen - Verspringen', '2.70 m', '422', 9), ('Vijfkamp Mannen - Speerwerpen', '24.65 m', '396', 9), ('Vijfkamp Mannen - 200 meter', '27.37 s', '612', 9), ('Vijfkamp Mannen - Discuswerpen', '22.15 m', '373', 9), ('Vijfkamp Mannen - 1500 meter', '4:54.93', '530', 9), ('Tienkamp - 100 meter', '13.70 s', '576', 9), ('Tienkamp - Verspringen', '2.71 m', '423', 9), ('Tienkamp - Kogelstoten', '5.87 m', '332', 9), ('Tienkamp - Hoogspringen', '0.50 m', '297', 9), ('Tienkamp - 400 meter', '1:00.79', '654', 9), ('Tienkamp - 110 meter horden', '20.82 s', '563', 9), ('Tienkamp - Discuswerpen', '21.88 m', '369', 9), ('Tienkamp - Polsstokhoogspringen', '1.51 m', '318', 9), ('Tienkamp - Speerwerpen', '25.20 m', '405', 9), ('Tienkamp - 1500 meter', '4:55.68', '522', 9), ('Vijfkamp Mannen', '2333 p', '467', 9), ('Tienkamp', '4459 p', '446', 9)]",8,6,3,8,2,1,3,8,5
Onbekend,Acevedo Carlotta,5662993,21,Chile,Vrouw,340,Zonder specialiteit,14,1,15,179,77,[],7,3,1,2,8,1,2,0,0
Onbekend,Adami Heinrich,5661199,19,Switzerland,Man,1210,Zonder specialiteit,15,1,15,175,81,[],16,3,10,3,4,0,1,0,0
20 km snelwandelen,Adami Sonia,5101040,31,Malta,Vrouw,9260,Snelwandelaars,20,9,13,180,69,"[('10 km snelwandelen', '1h:01:45.44', '868', 8), ('20 km snelwandelen', '2h:01:38.72', '897', 8), ('50 km snelwandelen', '4h:59:51.36', '860', 8)]",19,2,14,1,3,1,0,12,10
