Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aguado César,5646785,17,España,Man,270,Sprinters,19,1,17,166,63,2025-02-13 23:35:36,6,7,1,6,2,2,2,3,5
Onbekend,Águilas Xerome,5566173,17,España,Man,740,Sprinters,20,2,17,190,98,2025-02-13 23:35:40,9,8,3,6,2,1,1,7,7
Onbekend,Ares Beñat,5600749,18,España,Man,2380,Sprinters,18,1,18,188,89,2025-02-13 23:35:43,11,2,3,12,1,1,8,5,8
Onbekend,Lafarga Anacleto,5615804,17,España,Man,620,Sprinters,19,1,19,175,76,2025-02-13 23:35:46,7,2,2,8,3,2,3,8,6
Onbekend,Peres Gabriel,5636409,17,España,Man,1280,Sprinters,18,1,18,172,74,2025-02-13 23:35:50,17,10,2,3,1,4,2,6,5
Onbekend,Rebollo Boi,5562098,17,España,Man,1120,Sprinters,20,2,18,175,90,2025-02-13 23:35:53,8,2,1,5,9,2,2,8,8
Onbekend,Karmona Alba,5539477,18,España,Vrouw,1250,Sprinters,20,2,19,176,77,2025-02-13 23:36:14,15,10,3,3,2,2,4,8,6
Onbekend,Cordero Luis Alberto,5555605,17,España,Man,2020,Middenafstandslopers,20,2,18,176,86,2025-02-13 23:36:20,13,2,6,11,0,3,1,6,8
Onbekend,de los Ríos Francisco José,5627996,18,España,Man,1120,Middenafstandslopers,20,1,17,179,76,2025-02-13 23:36:24,16,2,9,1,2,2,3,7,7
Onbekend,Leiva Rubén,5630555,18,España,Man,420,Middenafstandslopers,13,1,18,183,86,2025-02-13 23:36:28,6,6,6,3,1,2,1,3,8
Onbekend,Argüello Iria,5555780,17,España,Vrouw,2280,Middenafstandslopers,20,2,16,177,77,2025-02-13 23:36:43,13,2,12,7,2,5,0,7,8
Onbekend,Canto Xiana,5572381,17,España,Vrouw,1670,Middenafstandslopers,20,2,18,174,75,2025-02-13 23:36:47,7,1,4,11,2,3,3,8,8
Onbekend,Morató Marina,5600747,18,España,Vrouw,1240,Middenafstandslopers,15,1,17,156,60,2025-02-13 23:36:51,6,7,8,7,3,2,2,8,8
Onbekend,España Lucio,5621947,18,España,Man,2290,Langeafstandslopers,20,1,18,182,85,2025-02-13 23:36:56,20,2,4,6,0,3,8,8,9
Onbekend,Tierraseca Fernando,5590436,17,España,Man,4000,Langeafstandslopers,14,1,17,174,81,2025-02-13 23:37:02,16,3,13,3,1,9,3,7,7
Onbekend,Aragón Olga,5643601,17,España,Vrouw,620,Langeafstandslopers,18,1,16,172,67,2025-02-13 23:37:19,16,3,7,2,3,0,1,5,7
Onbekend,Sarrión Emiliano,5610821,17,España,Man,1100,Snelwandelaars,20,1,19,174,78,2025-02-13 23:37:28,10,1,8,2,7,2,4,7,9
Onbekend,Arán Sabina,5578148,17,España,Vrouw,240,Snelwandelaars,20,2,19,165,68,2025-02-13 23:37:31,9,2,4,0,1,1,1,6,5
Onbekend,Lacruz Lourdes,5604076,17,España,Vrouw,1440,Snelwandelaars,16,1,18,187,88,2025-02-13 23:37:35,11,0,3,2,9,1,3,8,9
Onbekend,Montejano Eloisa,5634117,17,España,Vrouw,520,Snelwandelaars,14,1,15,176,73,2025-02-13 23:37:38,11,3,4,0,2,1,8,6,7
Onbekend,Garikoitz Quique,5582883,17,España,Man,950,Springers,20,2,17,175,87,2025-02-13 23:37:42,7,1,3,2,3,8,1,6,9
Onbekend,Montesdeoca Pascual,5650484,17,España,Man,560,Springers,13,1,16,174,73,2025-02-13 23:37:50,11,0,1,3,2,9,2,6,4
Onbekend,Platas Jonathan,5597467,17,España,Man,1580,Springers,20,1,19,172,74,2025-02-13 23:37:59,19,3,0,2,6,9,1,7,8
Onbekend,Salas Anselmo,5566171,17,España,Man,730,Springers,20,2,18,185,89,2025-02-13 23:38:04,6,3,3,3,6,6,1,8,7
Onbekend,Tomás Armando,5641375,17,España,Man,390,Springers,13,1,17,170,75,2025-02-13 23:38:09,12,3,3,3,4,8,1,5,5
Onbekend,Zarzuelo Manel,5630554,17,España,Man,1450,Springers,17,1,16,175,75,2025-02-13 23:38:14,10,1,1,8,10,2,0,6,7
Onbekend,Cela Abril,5634118,17,España,Vrouw,1050,Springers,20,1,17,177,72,2025-02-13 23:38:19,13,3,2,1,3,10,3,3,5
Onbekend,Lekunberri Almudena,5625502,17,España,Vrouw,1140,Springers,14,1,19,186,86,2025-02-13 23:38:30,8,1,2,1,8,7,3,8,8
Onbekend,de Paula Xerach,5549218,18,España,Man,660,Werpers,20,2,19,180,87,2025-02-13 23:38:38,12,8,2,2,3,2,5,8,6
Onbekend,Hernando Anakdam,5659985,17,España,Man,1340,Werpers,11,1,15,164,69,2025-02-13 23:38:42,7,1,3,3,10,1,8,4,8
Onbekend,Mista Acaymo,5555777,17,España,Man,1760,Werpers,20,2,20,190,100,2025-02-13 23:38:49,14,4,2,5,7,3,11,6,8
Onbekend,Tabares Amadeu,5584780,17,España,Man,1530,Werpers,20,1,18,169,75,2025-02-13 23:38:55,13,9,2,1,0,1,9,6,9
Onbekend,Terrón Kerman,5646783,17,España,Man,810,Werpers,15,1,17,173,75,2025-02-13 23:38:58,16,2,2,2,2,3,6,8,5
