Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
400 meter horden,Kolkkala Mika,5160584,30,Suomi,Man,49810,Sprinters,18,11,15,174,70,2025-02-23 21:20:09,19,4,1,20,19,0,2,11,12
Marathon,Di Giammarino Emanuel,5050309,32,Italia,Man,45900,Langeafstandslopers,20,13,16,188,70,2025-02-23 21:20:09,19,0,20,17,0,0,1,14,9
5.000 meter,Annunziata Ida,5027765,32,Italia,Vrouw,37680,Langeafstandslopers,20,13,15,170,64,2025-02-23 21:20:09,17,0,20,15,0,0,3,11,9
3.000 meter steeplechase,Erceg Grozdana,5003958,33,Hrvatska,Vrouw,25020,Middenafstandslopers,19,14,17,181,68,2025-02-23 21:22:44,19,0,18,10,0,1,1,12,13
400 meter horden,Zuyev Spartak,5365989,24,Belarus,Man,21340,Sprinters,20,7,16,182,76,2025-02-23 21:34:21,19,1,3,16,17,2,2,9,7
100 meter,Hardie Courtney,5294872,25,Great Britain,Vrouw,48410,Sprinters,20,6,15,167,66,2025-02-23 21:34:58,20,20,2,19,2,2,2,7,10
1.500 meter,Visioli Remigio,5296314,25,Italia,Man,42300,Middenafstandslopers,20,6,17,169,52,2025-02-23 21:35:44,18,2,20,18,3,3,3,9,9
800 meter,Pellitero Maya,5377488,23,España,Vrouw,21770,Middenafstandslopers,20,7,19,167,69,2025-02-23 21:36:08,20,5,16,17,3,3,2,10,7
10.000 meter,Wojtkowiak Berenika,5360213,23,Polska,Vrouw,28740,Langeafstandslopers,20,6,19,159,45,2025-02-23 21:36:38,19,2,16,19,3,3,1,7,8
10.000 meter,Raso Iñaki,5402267,22,España,Man,19320,Langeafstandslopers,20,4,19,168,63,2025-02-23 21:37:04,19,0,18,12,3,6,3,8,8
20 km snelwandelen,Rusek Radosław,5362130,24,Polska,Man,25080,Snelwandelaars,20,5,18,176,68,2025-02-23 21:37:19,17,3,19,4,9,3,3,10,11
10 km snelwandelen,Taetti Michelle,5312459,24,Italia,Vrouw,24550,Snelwandelaars,20,6,16,177,54,2025-02-23 21:37:37,17,1,19,3,12,3,2,10,10
Onbekend,Barrachina Núria,5639539,16,España,Vrouw,1920,Springers,17,1,14,169,69,2025-02-23 21:45:55,20,1,2,5,7,9,2,8,7
100 meter,Flati Umberto,5050321,31,Italia,Man,41690,Sprinters,20,10,13,201,81,2025-02-23 21:47:38,20,17,1,20,2,2,0,11,11
200 meter,Gatti Biagio,5079376,30,Italia,Man,37360,Sprinters,20,11,15,182,70,2025-02-23 21:47:52,19,16,0,20,2,0,1,11,11
110 meter horden,La Chioma Santo,5157553,29,Italia,Man,24530,Sprinters,20,10,15,183,77,2025-02-23 21:48:04,16,3,1,18,14,0,2,12,11
400 meter,Vitullo Massimiliano,5204040,28,Italia,Man,32340,Sprinters,20,8,15,176,77,2025-02-23 21:48:21,20,14,2,20,3,2,3,10,10
100 meter horden,Bisegna Ilaria,4945295,34,Italia,Vrouw,36350,Sprinters,16,13,16,185,80,2025-02-23 21:48:35,17,3,0,19,17,0,0,8,9
400 meter horden,Crisetig Nadia,5249138,27,Italia,Vrouw,27980,Sprinters,20,10,17,165,73,2025-02-23 21:48:51,15,4,1,18,17,3,2,10,10
400 meter,Zamagni Nicole,5090980,30,Italia,Vrouw,54010,Sprinters,20,11,15,183,67,2025-02-23 21:49:20,20,19,3,20,0,3,0,12,11
3.000 meter steeplechase,Ungarelli Elvio,5083811,30,Italia,Man,41930,Middenafstandslopers,20,10,17,180,71,2025-02-23 21:49:40,19,0,19,16,0,0,0,15,12
800 meter,Appoloni Elvira,5008402,32,Italia,Vrouw,39890,Middenafstandslopers,20,12,14,171,58,2025-02-23 21:49:56,15,1,18,20,1,0,1,7,10
3.000 meter steeplechase,Querin Emanuela,5206132,27,Italia,Vrouw,17380,Middenafstandslopers,20,7,15,173,72,2025-02-23 21:50:11,19,3,16,14,4,3,0,12,11
