Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Polsstokhoogspringen,Vuong Sacha,4880127,36,Switzerland,Vrouw,20630,Springers,20,16,18,177,67,2025-02-15 00:58:27,19,0,0,0,13,13,0,10,15
Onbekend,Rodrigues Domingos,5653368,15,Portugal,Man,360,Snelwandelaars,11,1,15,179,76,2025-02-15 01:18:57,10,1,6,2,7,2,3,7,4
Onbekend,Guterres Romeu,5647417,17,Portugal,Man,130,Springers,11,1,15,175,77,2025-02-15 01:19:02,6,6,1,2,3,3,3,3,3
Onbekend,Nunes Soraia,5651980,15,Portugal,Vrouw,450,Meerkampers,18,1,16,161,56,2025-02-15 01:19:06,10,3,3,2,3,3,8,5,6
Onbekend,Távora André,5503966,19,Portugal,Man,3400,Werpers,20,2,19,172,80,2025-02-15 01:21:14,11,5,1,1,8,1,13,7,7
Verspringen,Lampreia Félix,4933653,34,Portugal,Man,10590,Springers,20,12,16,180,63,2025-02-15 01:48:29,17,0,2,11,0,15,0,10,9
Onbekend,Muzzio Brooklyn,5643741,14,United States,Vrouw,1070,Langeafstandslopers,13,1,14,156,49,2025-02-15 02:06:11,12,1,10,3,1,3,3,6,5
Onbekend,Gutiérrez Javier,5642924,16,Argentina,Man,1000,Langeafstandslopers,17,1,14,173,75,2025-02-15 03:43:29,8,3,8,7,2,3,3,9,7
Onbekend,Martínez Margarita,5602757,17,Argentina,Vrouw,1930,Meerkampers,20,1,15,162,62,2025-02-15 03:43:33,18,10,1,7,1,7,2,5,8
Onbekend,Bennati Raffaela,5600265,17,Italia,Vrouw,1360,Sprinters,19,1,15,163,65,2025-02-15 08:42:34,16,3,1,10,6,3,1,7,8
Onbekend,Aptaloglou Damiani,5624596,18,Hellas,Vrouw,3080,Langeafstandslopers,20,1,17,170,66,2025-02-15 08:54:08,20,1,11,3,1,3,6,9,6
Onbekend,Ventilii Bella,5657352,15,Italia,Vrouw,910,Meerkampers,11,1,15,157,55,2025-02-15 09:05:57,14,2,1,9,3,7,2,6,7
Tienkamp,Olivera Garcia,5451049,22,Uruguay,Man,4140,Meerkampers,20,5,16,184,89,2025-02-15 09:08:24,20,2,2,12,10,2,3,9,7
Onbekend,Paredes Davinia,5615792,16,España,Vrouw,1920,Sprinters,20,1,14,180,77,2025-02-15 09:11:03,12,10,3,10,3,1,2,9,5
Onbekend,Kalaki Popi,5532565,18,Hellas,Vrouw,1480,Snelwandelaars,20,1,11,181,84,2025-02-15 09:23:35,14,2,9,3,10,1,2,6,7
Onbekend,Salmatanis Iliodoros,5649804,17,Hellas,Man,970,Werpers,14,1,16,189,93,2025-02-15 09:23:46,12,10,2,1,3,3,3,7,7
200 meter,Abrahams Patrice,5115009,30,Jamaica,Vrouw,17480,Sprinters,18,14,14,180,76,2025-02-15 09:29:31,12,10,2,17,2,2,1,12,10
1.500 meter,Martin Petrona,5115018,33,Jamaica,Vrouw,22280,Middenafstandslopers,20,13,15,159,43,2025-02-15 09:29:49,18,0,18,13,0,0,0,8,11
5.000 meter,Abrahams Michael,5115020,31,Jamaica,Man,18250,Langeafstandslopers,20,14,17,172,69,2025-02-15 09:30:11,14,1,17,6,2,0,0,12,8
50 km snelwandelen,Gray Trudy,5395881,25,Jamaica,Vrouw,20590,Snelwandelaars,20,6,17,161,58,2025-02-15 09:30:25,20,1,19,1,2,3,1,11,9
Kogelslingeren,Lowe Jo-Hannah,5115054,31,Jamaica,Vrouw,19770,Werpers,20,14,16,178,63,2025-02-15 09:30:42,17,14,0,1,1,0,17,10,10
Onbekend,Bukovec Rozina,5545678,17,Slovenija,Vrouw,1760,Springers,20,2,14,173,83,2025-02-15 11:33:12,13,1,2,3,11,8,2,8,7
400 meter,Traini Costanza,5588133,22,Italia,Vrouw,2460,Sprinters,20,2,16,185,87,2025-02-15 11:33:45,13,7,3,10,5,3,1,3,11
400 meter horden,Bernardi Livia,5588129,21,Italia,Vrouw,2120,Sprinters,20,2,16,162,53,2025-02-15 11:34:06,6,3,2,10,7,2,1,10,8
Onbekend,Di Vincenzo Artemio,5588142,22,Italia,Man,1720,Langeafstandslopers,20,1,17,185,81,2025-02-15 11:34:33,15,3,9,4,3,1,3,10,6
10 km snelwandelen,Hristov Ventseslav,4932784,34,Bulgaria,Man,23170,Snelwandelaars,20,13,14,171,77,2025-02-15 11:36:06,16,4,18,0,0,0,0,11,13
Onbekend,McGowne Bailey,5627635,17,Great Britain,Man,1480,Springers,16,1,15,169,72,2025-02-15 12:57:56,19,2,3,2,5,9,1,7,7
Onbekend,Pirani Gianluca,5653287,15,Italia,Man,570,Langeafstandslopers,19,1,16,164,69,2025-02-15 13:01:22,15,1,5,6,2,2,3,6,7
Onbekend,Pedrosa Modesto,5653367,17,Portugal,Man,1300,Werpers,12,1,14,182,85,2025-02-15 13:18:07,16,2,3,0,4,3,11,4,4
Onbekend,Camões Severino,5656175,17,Portugal,Man,190,Zonder specialiteit,14,1,14,175,73,2025-02-15 13:18:16,6,7,2,3,1,3,1,0,0
Onbekend,Zagalo Tibúrcio,5656174,17,Portugal,Man,770,Werpers,13,1,14,185,84,2025-02-15 13:18:25,16,9,1,4,2,2,3,5,6
10 km snelwandelen,Herberová Simona,5085245,30,Česká republika,Vrouw,6280,Snelwandelaars,20,6,18,163,59,2025-02-15 13:29:52,18,2,12,10,4,2,0,10,11
Verspringen,Roháček David,4945103,35,Česká republika,Man,5370,Springers,17,14,18,188,77,2025-02-15 13:29:57,11,0,0,0,3,11,0,8,10
Onbekend,Espinosa Domitília,5513188,18,Portugal,Vrouw,450,Langeafstandslopers,18,1,11,166,73,2025-02-15 14:01:16,10,5,7,1,2,6,0,6,7
10 km snelwandelen,Piña Ana,4709521,40,España,Vrouw,64020,Snelwandelaars,19,20,15,184,45,2025-02-15 14:20:56,20,0,19,0,0,0,0,15,18
Onbekend,Zorman Viljem,5570813,17,Slovenija,Man,1940,Meerkampers,20,1,15,182,94,2025-02-15 14:21:08,14,8,2,10,4,1,1,8,9
Onbekend,Łbik Tadeusz,5611238,20,Polska,Man,3450,Sprinters,20,2,20,188,86,2025-02-15 14:26:08,17,8,2,11,3,2,1,10,8
Hoogspringen,Barbieri Elisabetta,5215172,27,Italia,Vrouw,18430,Springers,20,7,17,182,65,2025-02-15 14:34:44,19,2,2,2,7,18,0,11,11
Onbekend,Balbiani Daria,5589942,17,Italia,Vrouw,1990,Middenafstandslopers,18,1,15,161,64,2025-02-15 15:27:12,8,2,11,6,3,2,4,5,9
Discuswerpen,Pietras Karolina,5532410,27,Polska,Vrouw,2090,Werpers,20,3,18,169,65,2025-02-15 15:56:58,19,10,1,3,3,2,8,9,6
Speerwerpen,Broda Alina,5535906,19,Polska,Vrouw,1070,Werpers,20,2,18,177,75,2025-02-15 15:57:20,18,4,2,3,8,2,7,6,7
Hinkstapspringen,Klimczak Dagmara,5532403,25,Polska,Vrouw,1600,Springers,20,3,19,170,66,2025-02-15 15:58:11,9,1,1,2,9,10,1,6,7
5.000 meter,Niedzielski Szymon,5532384,24,Polska,Man,3420,Langeafstandslopers,19,3,18,196,94,2025-02-15 15:58:33,15,3,10,6,5,0,1,10,10
Onbekend,Benati Alberto,5563546,18,Italia,Man,1570,Springers,20,2,17,180,81,2025-02-15 16:26:11,8,2,2,1,11,8,2,6,7
Onbekend,Pennati Candido,5600223,18,Italia,Man,1350,Middenafstandslopers,20,1,16,186,90,2025-02-15 16:26:33,18,1,6,9,1,3,3,5,8
Onbekend,Paracini Gualtiero,5542672,18,Italia,Man,980,Langeafstandslopers,19,2,15,172,81,2025-02-15 16:27:03,9,2,10,4,3,2,1,6,7
Onbekend,Tomedi Ida,5606962,18,Italia,Vrouw,1000,Meerkampers,16,1,16,161,62,2025-02-15 16:27:25,8,3,2,9,8,4,2,4,8
Tienkamp,Godbold Angel,5071195,31,United States,Man,8610,Meerkampers,20,11,18,176,70,2025-02-15 17:06:51,19,2,1,14,11,6,0,9,6
Hinkstapspringen,Rigaud Rosette,5456239,25,France,Vrouw,2360,Springers,20,4,17,167,66,2025-02-15 17:15:40,18,3,1,3,6,9,2,6,10
200 meter,Espinosa Jimmy,5189919,30,France,Man,39560,Sprinters,20,10,15,165,62,2025-02-15 17:40:00,19,15,1,20,0,6,0,9,11
400 meter,Savary Abdel,5114429,30,France,Man,12170,Sprinters,20,10,15,182,76,2025-02-15 17:40:31,15,12,4,16,0,1,2,8,10
200 meter,Hebert Margaux,4971422,33,France,Vrouw,32890,Sprinters,20,13,15,180,69,2025-02-15 17:40:54,17,14,0,20,0,0,1,10,11
400 meter,Pinto Maëline,5023039,33,France,Vrouw,22670,Sprinters,19,12,15,185,70,2025-02-15 17:41:14,17,11,6,19,0,0,0,9,11
1.500 meter,Dumont Alphonse,5119557,31,France,Man,33710,Middenafstandslopers,20,11,16,181,70,2025-02-15 17:42:38,20,8,20,14,0,0,2,11,9
3.000 meter steeplechase,Lacroix Gabriel,5070000,32,France,Man,28500,Middenafstandslopers,20,12,17,184,68,2025-02-15 17:42:50,17,3,20,12,1,1,1,9,8
