Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
400 meter,Limia Mauro,5270242,25,Argentina,Man,3360,Sprinters,20,6,18,185,88,2025-02-18 18:36:24,16,2,6,12,2,1,3,9,8
Verspringen,Lampreia Félix,4933653,34,Portugal,Man,10440,Springers,20,12,15,180,63,2025-02-18 19:24:27,17,0,2,11,0,15,0,10,9
Onbekend,Távora André,5503966,19,Portugal,Man,3400,Werpers,20,2,19,172,80,2025-02-18 19:24:41,11,5,1,1,8,1,13,7,7
Onbekend,Rzeźniczak Diana,5661415,17,Polska,Vrouw,780,Werpers,17,1,15,171,59,2025-02-18 19:43:52,14,3,1,1,3,2,8,8,4
Onbekend,Krajewska Alina,5661414,14,Polska,Vrouw,400,Werpers,13,1,15,158,55,2025-02-18 19:44:18,12,6,3,3,1,1,8,5,4
Onbekend,Blocher Diana,5656246,17,Deutschland,Vrouw,1520,Sprinters,19,1,15,160,57,2025-02-18 20:05:40,19,7,2,9,1,7,1,4,4
Onbekend,Pirani Gianluca,5653287,15,Italia,Man,560,Langeafstandslopers,19,1,15,164,69,2025-02-18 20:09:35,15,1,5,6,2,2,3,6,7
Onbekend,Watelet Nathan,5548535,18,België,Man,2780,Langeafstandslopers,20,2,14,176,83,2025-02-18 20:14:22,14,1,12,3,1,2,2,9,8
Verspringen,Mol Wout,5505941,27,België,Man,3410,Springers,20,4,14,179,79,2025-02-18 20:15:03,15,4,2,5,6,12,3,9,8
Hinkstapspringen,Rigaud Rosette,5456239,25,France,Vrouw,2360,Springers,20,4,17,167,66,2025-02-18 20:15:55,18,3,1,3,6,9,2,6,10
Marathon,Abouzeid Heqet,5301343,26,Miṣr,Vrouw,13130,Langeafstandslopers,20,7,19,174,67,2025-02-18 20:26:37,18,2,17,5,3,1,3,9,8
Tienkamp,Olivera Garcia,5451049,22,Uruguay,Man,4140,Meerkampers,20,5,16,184,89,2025-02-18 22:02:36,20,2,2,12,10,2,3,9,7
Onbekend,Thill Evelien,5553573,19,België,Vrouw,2360,Springers,20,2,15,179,78,2025-02-18 22:38:51,20,1,2,1,6,11,3,8,6
Onbekend,Cozzarini Pippo,5628045,17,Italia,Man,860,Middenafstandslopers,20,1,14,171,74,2025-02-18 22:39:14,18,3,6,3,2,2,1,8,5
