Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
400 meter,Brosien Chiara,5026646,32,Deutschland,Vrouw,33670,Sprinters,19,12,14,171,56,2025-02-16 23:34:09,18,11,1,19,0,0,1,14,11
100 meter horden,B. Tóth Julianna,4783941,38,Magyarország,Vrouw,23830,Sprinters,20,18,16,173,69,2025-02-16 23:34:29,20,0,0,14,13,0,0,13,10
50 km snelwandelen,Lalov Kaloyan,4986271,33,Bulgaria,Man,28200,Snelwandelaars,20,14,14,180,63,2025-02-16 23:34:46,18,0,19,0,5,1,0,12,12
Polsstokhoogspringen,Karlsen Elias,5018329,33,Danmark,Man,28180,Springers,18,13,16,172,67,2025-02-16 23:35:02,18,0,0,0,16,18,0,10,11
Verspringen,Krahe Johan,4944207,34,Deutschland,Man,27390,Springers,20,13,13,181,68,2025-02-16 23:35:17,20,0,0,7,9,19,0,9,11
Onbekend,Caparrós Oihan,5660857,16,España,Man,1030,Werpers,10,1,15,175,74,2025-02-16 23:36:51,12,7,1,1,1,3,9,8,6
110 meter horden,Fidanza Costantino,5415033,23,Italia,Man,8310,Sprinters,20,6,16,177,76,2025-02-16 23:56:46,18,1,2,15,11,2,1,7,10
200 meter,Feistmantl Sophie,5274202,27,Österreich,Vrouw,18520,Sprinters,20,8,15,163,60,2025-02-16 23:57:12,19,13,3,18,7,2,3,9,9
50 km snelwandelen,Di Diadoro Alberico,5383171,22,Italia,Man,8930,Snelwandelaars,20,5,15,182,86,2025-02-16 23:57:46,16,2,15,0,6,2,1,10,9
Kogelslingeren,Nana Veronica,5478077,20,Italia,Vrouw,4310,Werpers,20,4,15,176,81,2025-02-16 23:58:09,17,12,3,2,1,0,11,8,9
Polsstokhoogspringen,Crudo Annalisa,5462323,22,Italia,Vrouw,7290,Springers,20,5,15,169,69,2025-02-16 23:58:37,17,3,2,3,13,13,2,7,8
Hinkstapspringen,Zuccotti Giuliana,5371905,22,Italia,Vrouw,7630,Springers,20,5,12,166,74,2025-02-16 23:58:49,15,2,2,1,12,14,3,8,9
Onbekend,Luís Adriana,5656151,17,Portugal,Vrouw,1020,Springers,17,1,14,166,57,2025-02-17 02:35:17,18,2,3,1,8,3,1,8,4
Onbekend,Santos Ricardo,5582241,16,Portugal,Man,800,Springers,20,1,13,174,78,2025-02-17 02:35:25,7,3,1,5,3,9,0,7,7
Onbekend,Sampaio Iris,5556378,19,Portugal,Vrouw,250,Middenafstandslopers,15,1,13,174,70,2025-02-17 02:35:34,6,3,3,6,1,2,2,7,6
Onbekend,Vicente Liberto,5578895,18,Portugal,Man,1570,Springers,20,2,14,169,78,2025-02-17 02:35:43,7,2,3,3,9,6,3,6,10
Hoogspringen,Vasques Olinda,5513165,18,Portugal,Vrouw,840,Springers,20,3,15,168,75,2025-02-17 02:35:52,6,2,0,3,6,7,1,7,9
Onbekend,Velasques Vera,5539437,17,Portugal,Vrouw,2470,Sprinters,20,2,16,172,73,2025-02-17 02:36:00,11,12,3,7,1,0,3,5,7
Vijfkamp Vrouwen,Ferreira Huguette,4967538,33,France,Vrouw,6930,Meerkampers,20,12,16,180,76,2025-02-17 06:32:56,20,9,2,1,4,6,6,12,11
Onbekend,Hamon Samy,5634541,16,France,Man,1090,Werpers,20,1,17,162,67,2025-02-17 06:33:03,14,6,3,3,2,1,9,8,7
Onbekend,Perron Suzette,5614611,18,France,Vrouw,1460,Middenafstandslopers,19,2,16,165,61,2025-02-17 06:33:09,13,2,7,10,3,2,1,8,6
Onbekend,Veltmans Pieter-Jan,5657192,17,Nederland,Man,1260,Zonder specialiteit,15,1,14,166,68,2025-02-17 08:14:04,13,3,8,2,10,7,2,0,0
100 meter horden,Rajoy Verónica,5280372,25,España,Vrouw,9830,Sprinters,20,6,17,181,66,2025-02-17 09:09:59,17,9,0,14,1,1,2,13,10
Onbekend,Bryan Jesse,5504225,18,United States,Man,4830,Meerkampers,20,2,17,188,94,2025-02-17 10:18:05,16,1,3,14,9,3,3,8,7
1.500 meter,Bailly Dimitri,5043491,31,France,Man,13320,Middenafstandslopers,20,9,15,188,86,2025-02-17 10:23:17,15,1,15,10,1,0,2,13,10
Zevenkamp,Tomasi Betta,5456006,22,Italia,Vrouw,2650,Meerkampers,20,4,19,172,73,2025-02-17 10:32:48,19,3,6,11,1,7,8,7,8
Onbekend,Gavazzeni Emilia,5629981,17,Italia,Vrouw,940,Meerkampers,19,1,17,169,65,2025-02-17 10:32:54,18,2,1,8,3,3,7,6,5
Tienkamp,Felter Teofilo,5379428,24,Italia,Man,2450,Meerkampers,20,5,20,165,69,2025-02-17 10:33:00,19,2,11,8,3,8,3,5,6
Onbekend,Cuaz Cristiano,5633688,17,Italia,Man,2000,Meerkampers,20,1,19,175,80,2025-02-17 10:33:06,15,3,10,2,1,3,1,8,9
5.000 meter,Monticone Sergio,5498996,19,Italia,Man,2030,Langeafstandslopers,20,3,20,187,91,2025-02-17 10:33:12,16,9,8,3,2,2,3,8,9
Onbekend,Comel Pamela,5545683,17,Italia,Vrouw,2560,Springers,20,2,20,182,84,2025-02-17 10:33:53,17,3,2,3,10,9,3,9,6
Onbekend,Kretkowska Adrianna,5657371,17,Polska,Vrouw,1440,Snelwandelaars,13,1,16,170,69,2025-02-17 10:49:06,20,1,7,2,1,0,1,8,7
100 meter,Bouzas Julene,4594976,44,España,Vrouw,8960,Sprinters,12,17,19,160,59,2025-02-17 11:14:24,16,0,0,7,0,0,0,5,3
110 meter horden,Anderson Eetu,4554539,44,Suomi,Man,7360,Sprinters,11,17,17,184,95,2025-02-17 11:14:27,13,0,0,5,0,0,0,5,5
