Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Morton Angelica,5621514,16,United States,Vrouw,1200,Werpers,13,1,15,170,68,2025-02-20 03:28:24,16,6,1,2,3,3,10,6,7
Onbekend,Strong Cody,5550878,17,United States,Man,6470,Snelwandelaars,20,2,15,196,106,2025-02-20 03:51:50,20,3,14,1,2,6,2,8,9
Onbekend,Rutledge Aaron,5661720,14,United States,Man,60,Zonder specialiteit,16,1,15,168,69,2025-02-20 04:43:39,8,3,2,2,2,2,1,0,0
Onbekend,Blake Caitlin,5653021,16,United States,Vrouw,830,Zonder specialiteit,14,1,14,175,74,2025-02-20 04:43:45,7,1,2,3,2,2,10,0,0
Vijfkamp Mannen,Kourkourikis Karolos,4987659,33,Hellas,Man,5770,Meerkampers,20,14,16,179,75,2025-02-20 05:01:54,20,6,6,6,5,3,0,8,11
Onbekend,Delcourt Nicolas,5661727,17,France,Man,750,Zonder specialiteit,15,1,15,172,72,2025-02-20 05:15:13,18,3,8,2,7,2,1,0,0
100 meter,Condruc Jean,5023019,33,România,Man,34550,Sprinters,19,15,13,179,71,2025-02-20 05:43:38,19,1,2,20,1,1,0,10,12
400 meter horden,Trifu Delia,5215041,27,România,Vrouw,28160,Sprinters,20,9,14,168,61,2025-02-20 05:45:05,18,2,3,19,12,3,2,14,10
1.500 meter,Nistor Dănuţ,5316389,25,România,Man,6800,Middenafstandslopers,19,7,13,191,83,2025-02-20 05:45:58,16,3,14,4,2,1,2,9,11
10 km snelwandelen,Nistor Şerban,5122842,29,România,Man,15070,Snelwandelaars,20,11,13,198,103,2025-02-20 05:47:15,15,2,17,1,7,1,3,10,10
Hoogspringen,Dică Anghel,5185194,28,România,Man,10400,Springers,20,10,15,188,83,2025-02-20 05:48:08,17,3,3,2,6,14,3,12,12
Hinkstapspringen,Lupescu Sebastian,5126887,30,România,Man,14520,Springers,20,16,16,176,63,2025-02-20 05:48:26,15,0,0,1,12,14,4,12,11
Hoogspringen,Deleanu Estera,5124680,29,România,Vrouw,13740,Springers,20,13,14,168,66,2025-02-20 05:48:59,10,3,0,0,10,16,2,9,10
