Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Martínez Margarita,5602757,17,Argentina,Vrouw,1900,Meerkampers,20,1,15,162,61,2025-02-12 00:46:03,18,10,1,7,1,7,2,5,8
Onbekend,Gutiérrez Javier,5642924,16,Argentina,Man,990,Langeafstandslopers,18,1,14,173,75,2025-02-12 00:46:12,8,3,8,7,2,3,3,9,7
Onbekend,Reid Sébastien,5608418,17,Canada,Man,520,Middenafstandslopers,18,1,14,182,87,2025-02-12 01:59:29,13,2,8,3,1,2,3,5,7
Onbekend,McFadden Hayden,5635165,16,Great Britain,Man,1610,Springers,18,1,15,164,68,2025-02-12 01:59:29,20,2,1,1,9,7,4,5,8
50 km snelwandelen,Vonlanthen Aitzol,4839078,38,Colombia,Man,3700,Snelwandelaars,20,13,14,172,68,2025-02-12 09:04:10,14,0,11,0,4,0,0,9,7
Onbekend,Bettoso Nicola,5496346,19,Italia,Man,2520,Langeafstandslopers,20,3,15,185,93,2025-02-12 10:13:05,9,3,12,7,3,1,2,6,7
Discuswerpen,Lozza Fernando,5333705,25,Italia,Man,4700,Werpers,20,4,17,188,84,2025-02-12 10:14:07,19,11,1,3,3,2,11,11,9
3.000 meter steeplechase,Griffin Juan,5271587,31,United States,Man,7870,Middenafstandslopers,20,7,16,187,77,2025-02-12 10:54:14,17,1,11,8,2,1,0,13,12
Onbekend,Durmic Martin,5658418,17,Bosna i Hercegovina,Man,1550,Zonder specialiteit,12,1,15,174,77,2025-02-12 11:28:01,20,10,1,3,1,3,3,0,0
Onbekend,Ponce Alfonso,5640363,15,Ecuador,Man,1770,Werpers,19,1,17,170,69,2025-02-12 11:30:17,20,10,1,2,1,5,3,5,6
110 meter horden,Petrov Bohomir,5268836,27,Ukrajina,Man,4830,Sprinters,19,9,15,170,66,2025-02-12 11:56:14,11,5,3,13,2,2,2,8,10
200 meter,Martyn Rozaliia,5338144,28,Ukrajina,Vrouw,6220,Sprinters,20,8,16,158,50,2025-02-12 11:56:36,20,12,1,12,10,2,2,9,6
Onbekend,Dziuk Ihnat,5439439,28,Ukrajina,Man,3620,Middenafstandslopers,20,3,15,197,96,2025-02-12 11:56:47,16,1,11,10,5,1,0,8,9
Hoogspringen,Batko Osypa,5329073,26,Ukrajina,Vrouw,16670,Springers,20,8,16,181,71,2025-02-12 11:57:33,11,2,3,2,1,18,3,6,10
Speerwerpen,Lockimo Jakiv,5248936,29,Ukrajina,Man,2810,Werpers,19,9,17,189,83,2025-02-12 11:57:54,17,7,0,2,4,3,12,7,8
Speerwerpen,vankhiva Daryna,5206693,28,Ukrajina,Vrouw,4760,Werpers,20,5,14,181,69,2025-02-12 11:58:17,13,8,0,3,2,0,13,8,10
Onbekend,Pedrosa Modesto,5653367,17,Portugal,Man,1300,Werpers,12,1,14,181,84,2025-02-12 12:13:27,16,2,3,0,4,3,11,4,4
Onbekend,Camões Severino,5656175,17,Portugal,Man,190,Zonder specialiteit,14,1,14,174,72,2025-02-12 12:13:33,6,7,2,3,1,3,1,0,0
Onbekend,Zagalo Tibúrcio,5656174,17,Portugal,Man,770,Werpers,11,1,14,184,83,2025-02-12 12:14:05,16,9,1,4,2,2,3,5,6
10 km snelwandelen,Cygan Dawid,5302807,24,Polska,Man,6950,Snelwandelaars,20,3,11,186,73,2025-02-12 12:37:41,18,1,12,2,14,2,6,6,8
Onbekend,Aksamit Valeria,5658270,23,Ukrajina,Vrouw,2270,Zonder specialiteit,13,1,15,171,66,2025-02-12 12:40:54,20,0,2,2,10,10,4,0,0
Onbekend,Aguayo Ismael,5658753,15,España,Man,810,Zonder specialiteit,11,1,15,168,71,2025-02-12 12:52:51,12,6,10,2,2,1,3,0,0
1.500 meter,Smith Yesim,5529659,19,Türkiye,Vrouw,2790,Middenafstandslopers,20,3,18,177,80,2025-02-12 13:13:13,17,3,5,10,2,3,1,11,8
Onbekend,Muslin Veroljub,5647946,17,Srbija,Man,1080,Snelwandelaars,14,1,14,176,77,2025-02-12 13:58:11,20,4,3,1,5,5,3,7,6
Onbekend,Todorov Zlatan,5595013,17,Srbija,Man,2190,Werpers,20,1,15,196,103,2025-02-12 13:58:53,19,11,2,3,5,2,5,8,5
Onbekend,Spiric Slavimir,5654191,15,Srbija,Man,1170,Meerkampers,16,1,15,160,60,2025-02-12 13:59:27,18,6,2,1,5,6,2,8,8
Onbekend,Banjanin Nataša,5654192,16,Srbija,Vrouw,1390,Sprinters,17,1,15,169,59,2025-02-12 13:59:45,20,5,0,1,9,3,2,5,6
Onbekend,Devonish Kimberley,5656632,17,Great Britain,Vrouw,1040,Werpers,12,1,15,160,61,2025-02-12 14:01:30,16,8,1,3,1,2,9,3,5
Onbekend,Pilić Mirna,5658601,17,Hrvatska,Vrouw,1950,Zonder specialiteit,19,1,15,165,64,2025-02-12 14:02:36,20,0,10,3,8,1,3,0,0
Onbekend,Całka Alicja,5582397,19,Polska,Vrouw,1750,Snelwandelaars,20,2,15,166,67,2025-02-12 16:34:50,14,3,10,3,4,0,1,7,9
Onbekend,Tabares Ladislao,5658603,16,México,Man,990,Zonder specialiteit,13,1,15,164,64,2025-02-12 16:35:01,6,3,10,2,9,2,3,0,0
Onbekend,Estacio Sebastián,5658736,16,Ecuador,Man,1140,Zonder specialiteit,18,1,15,182,77,2025-02-12 16:38:03,11,10,3,3,8,2,3,0,0
Onbekend,Payla Danilo,5658624,15,Pilipinas,Man,1380,Zonder specialiteit,19,1,15,175,76,2025-02-12 16:38:41,12,9,0,3,10,1,7,0,0
Onbekend,Elorde Dakila,5657819,16,Pilipinas,Man,1370,Zonder specialiteit,20,1,14,159,59,2025-02-12 16:44:03,16,8,1,2,10,3,1,0,0
10.000 meter,Biete Mihails,5086438,32,Latvija,Man,16010,Langeafstandslopers,19,16,15,180,72,2025-02-12 16:48:57,6,1,15,12,0,0,0,11,6
Onbekend,Mendoza Garrett,5500787,19,United States,Man,1880,Sprinters,20,2,12,180,89,2025-02-12 16:51:23,16,9,2,9,3,1,1,8,9
1.500 meter,Noronha Orlando,5038870,34,Portugal,Man,5810,Middenafstandslopers,19,11,14,165,56,2025-02-12 17:22:19,10,1,11,8,0,1,0,12,9
Onbekend,Vento Álvaro,5621579,16,Portugal,Man,1390,Middenafstandslopers,20,1,14,183,88,2025-02-12 17:22:29,12,1,11,3,4,4,3,6,7
Onbekend,Julião Dores,5627980,18,Portugal,Vrouw,1020,Middenafstandslopers,13,1,14,159,59,2025-02-12 17:22:45,6,2,9,9,0,2,1,5,6
Onbekend,Vila Aquilino,5565396,17,Portugal,Man,2550,Langeafstandslopers,20,1,15,180,86,2025-02-12 17:23:13,17,2,9,3,3,1,11,9,6
Zevenkamp,Saudade Fortunata,4898759,35,Portugal,Vrouw,10030,Meerkampers,20,13,14,169,64,2025-02-12 17:23:26,15,7,0,14,12,0,0,10,6
Onbekend,Arizala Victor,5658703,18,Colombia,Man,1460,Zonder specialiteit,18,1,15,180,75,2025-02-12 17:23:34,16,1,3,9,10,2,1,0,0
200 meter,Gunn David,5390109,22,Great Britain,Man,3670,Sprinters,20,4,17,172,79,2025-02-12 17:25:16,8,10,2,12,4,0,3,10,9
3.000 meter steeplechase,McNeill Ciaran,4981621,36,Great Britain,Man,6470,Middenafstandslopers,19,14,16,181,58,2025-02-12 17:28:19,15,0,11,9,1,0,0,11,9
Onbekend,Giavedoni Silvano,5577731,18,Italia,Man,600,Springers,20,1,11,178,84,2025-02-12 17:33:31,14,2,5,3,6,7,3,7,7
Onbekend,Mulas Elvio,5538893,18,Italia,Man,1970,Snelwandelaars,20,2,14,188,93,2025-02-12 17:33:49,19,0,10,3,8,2,3,8,6
Onbekend,Iuvara Nicolò,5654361,14,Italia,Man,370,Sprinters,18,1,14,169,65,2025-02-12 17:40:12,13,6,2,7,2,2,0,4,5
Hoogspringen,Haag Ambra,5562172,20,Switzerland,Vrouw,1450,Springers,20,2,17,157,61,2025-02-12 18:06:25,16,9,0,10,2,5,1,6,5
Onbekend,Singh Pua,5658626,15,Malaysia,Man,960,Zonder specialiteit,11,1,15,176,73,2025-02-12 18:09:17,17,5,9,7,1,3,1,0,0
Onbekend,Andrijašević Andro,5629885,17,Hrvatska,Man,2180,Sprinters,20,1,15,179,81,2025-02-12 18:09:23,16,1,1,9,10,2,1,9,6
Onbekend,Sultanov Sha'ul,5658483,16,Yisra'el,Man,1000,Zonder specialiteit,16,1,15,172,73,2025-02-12 18:10:37,15,1,9,9,1,1,7,0,0
Onbekend,Chua Eva,5657771,16,Singapore,Vrouw,1930,Zonder specialiteit,18,1,14,168,64,2025-02-12 18:50:34,20,2,6,5,2,1,10,0,0
Onbekend,Oberweis Marcel,5658118,18,Lëtzebuerg,Man,1500,Zonder specialiteit,20,1,15,176,78,2025-02-12 18:55:00,20,7,3,10,1,3,2,0,0
3.000 meter steeplechase,Bojtor Renáta,5362739,23,Magyarország,Vrouw,4150,Middenafstandslopers,20,4,17,182,82,2025-02-12 19:30:40,18,4,9,13,3,2,3,8,8
20 km snelwandelen,Rivas Igor,5414329,22,España,Man,3720,Snelwandelaars,20,4,18,185,86,2025-02-12 19:40:14,19,3,10,7,5,1,1,11,9
400 meter horden,Akabusi Abbie,5265858,25,Great Britain,Vrouw,6090,Sprinters,20,9,14,163,63,2025-02-12 19:58:47,17,7,3,14,6,3,1,8,8
Kogelslingeren,Moguel Selena,5182276,30,México,Vrouw,11570,Werpers,20,10,17,173,56,2025-02-12 20:03:48,16,15,2,3,0,0,14,10,7
Onbekend,Higgins Stephen,5597665,19,United States,Man,1460,Meerkampers,18,1,19,175,75,2025-02-12 20:07:29,17,4,5,10,2,1,6,5,7
Onbekend,Ross Patricia,5626138,18,United States,Vrouw,1700,Meerkampers,16,1,16,174,67,2025-02-12 20:31:08,7,3,9,7,3,6,2,9,9
Onbekend,de Jong Gea,5611026,17,Nederland,Vrouw,240,Middenafstandslopers,11,1,16,182,81,2025-02-12 20:48:07,8,1,3,7,2,3,1,3,4
Onbekend,Kottika Tonia,5592741,18,Hellas,Vrouw,1350,Middenafstandslopers,18,1,16,178,72,2025-02-12 20:49:05,15,3,10,6,1,2,1,7,6
Onbekend,van Geel Twan,5635337,17,Nederland,Man,440,Springers,19,1,15,187,86,2025-02-12 20:49:10,8,1,7,2,3,4,5,8,6
20 km snelwandelen,Nosella Erica,5155326,31,Italia,Vrouw,6410,Snelwandelaars,20,9,15,175,61,2025-02-12 20:58:18,10,3,12,0,2,1,7,12,11
Verspringen,Mantzarli Giouli,5234290,29,Hellas,Vrouw,5130,Springers,20,7,16,164,47,2025-02-12 21:01:58,11,3,3,9,4,13,5,11,9
