Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Arias Victor,5572188,17,Argentina,Man,8330,Snelwandelaars,20,1,13,181,91,2025-02-25 23:07:04,17,1,16,1,3,3,2,5,8
Onbekend,Abraham Eugenio,5572189,17,Argentina,Man,6100,Sprinters,20,2,13,177,82,2025-02-25 23:07:04,14,2,2,15,1,1,3,8,5
Onbekend,Meessen Timon,5578580,17,Deutschland,Man,2860,Springers,20,2,16,178,90,2025-02-25 23:07:05,20,2,3,10,4,10,3,7,6
Onbekend,Echanove Jeremías,5592218,18,España,Man,1880,Werpers,20,1,13,175,80,2025-02-25 23:30:22,14,3,0,9,4,3,10,8,6
Onbekend,Maloney Holly,5570496,17,Great Britain,Vrouw,910,Werpers,19,1,15,167,73,2025-02-25 23:50:13,7,9,1,0,2,6,8,6,6
Onbekend,Fitchie Robert,5568223,17,Great Britain,Man,1350,Springers,20,2,16,182,90,2025-02-25 23:50:29,10,3,1,3,7,8,1,8,9
Onbekend,Durie Kayla,5596580,16,Great Britain,Vrouw,620,Sprinters,20,1,16,174,77,2025-02-25 23:50:45,12,9,2,6,3,0,1,5,7
Tienkamp,Dickson Landon,5151831,30,United States,Man,10150,Meerkampers,20,11,19,187,83,2025-02-26 02:28:44,19,14,2,8,10,5,0,11,11
Onbekend,Fedoriva Nika,5566398,17,Ukrajina,Vrouw,2340,Langeafstandslopers,20,2,20,163,70,2025-02-26 03:15:11,18,1,9,10,2,2,3,9,7
5.000 meter,Deas Cara,5469522,28,Great Britain,Vrouw,5240,Langeafstandslopers,20,4,15,175,71,2025-02-26 03:16:56,20,3,12,10,4,0,1,11,7
Polsstokhoogspringen,Bowman Nathan,5487805,22,Great Britain,Man,1170,Springers,20,3,15,174,82,2025-02-26 03:18:55,8,2,3,5,7,9,4,7,9
Onbekend,Clemons Carlos,5553346,17,United States,Man,9420,Sprinters,20,2,15,181,92,2025-02-26 05:29:08,20,1,1,16,9,1,6,6,7
100 meter,Cortez Angel,5467125,20,United States,Man,6510,Sprinters,20,4,16,179,76,2025-02-26 05:29:21,14,11,3,14,1,3,1,7,8
Onbekend,Cantrell Brooke,5527074,18,United States,Vrouw,9180,Sprinters,20,2,16,168,73,2025-02-26 05:29:37,20,2,1,15,11,1,2,7,8
Kogelstoten,Gill Kyle,5419484,21,United States,Man,5400,Werpers,20,4,16,182,82,2025-02-26 05:30:24,17,12,3,0,2,2,12,8,9
