Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2,Transferwaarde,Waarde,AtleetId
Onbekend,Irons Trevene,5656360,15,Jamaica,Vrouw,630,Springers,14,1,15,175,68,2025-02-14 00:28:09,13,4,4,2,3,8,3,5,7,,0,5656360
Hoogspringen,Parga Eloisa,5549220,20,España,Vrouw,2240,Springers,20,2,13,169,65,2025-02-14 09:36:31,15,2,3,3,10,11,0,5,5,,0,5549220
Onbekend,Grzegorczyk Emilia,5557423,21,Polska,Vrouw,1720,Springers,20,2,18,178,68,2025-02-14 09:36:48,10,3,1,6,7,9,3,6,10,,0,5557423
Onbekend,del Pino Peio,5588648,16,España,Man,1470,Meerkampers,20,1,14,164,74,2025-02-14 09:38:57,20,1,3,4,3,7,3,6,8,,0,5588648
Onbekend,Clijsters Gianni,5562337,17,België,Man,1220,Meerkampers,20,1,15,178,87,2025-02-14 09:47:11,16,2,2,5,9,1,2,6,8,,0,5562337
Onbekend,Stevesijns Casper,5639648,17,België,Man,2140,Sprinters,14,1,16,166,68,2025-02-14 09:47:20,18,3,2,11,1,3,2,8,6,,0,5639648
400 meter horden,Deroost Koen,5505840,26,België,Man,3700,Sprinters,20,4,17,187,92,2025-02-14 09:47:29,7,3,1,12,6,3,1,10,8,,0,5505840
1.500 meter,Depauw Arne,5505915,29,België,Man,1980,Middenafstandslopers,20,4,17,170,70,2025-02-14 09:47:37,17,2,8,10,3,3,2,9,4,,0,5505915
Kogelstoten,Haase Sabri,5505948,30,België,Man,1440,Werpers,19,4,18,195,96,2025-02-14 09:47:45,12,7,0,0,1,0,7,8,10,,0,5505948
Onbekend,Delforge Mathias,5629872,18,België,Man,1340,Werpers,18,1,17,174,75,2025-02-14 09:47:52,12,3,1,2,3,2,11,4,4,,0,5629872
Onbekend,Kozioł Łukasz,5660075,16,Polska,Man,770,Werpers,15,1,15,171,73,2025-02-14 10:17:30,10,6,2,2,9,1,6,6,7,,0,5660075
Onbekend,Bellomi Gastone,5648946,15,Italia,Man,840,Sprinters,14,1,16,174,71,2025-02-14 10:50:41,16,3,3,8,3,3,2,8,6,,0,5648946
Onbekend,Piechocka Edyta,5617516,17,Polska,Vrouw,2040,Springers,20,1,14,170,72,2025-02-14 12:15:41,9,8,2,2,3,10,2,9,8,,0,5617516
Onbekend,Szynkaruk Mariusz,5660097,15,Polska,Man,980,Werpers,15,1,15,166,65,2025-02-14 12:16:28,19,8,2,2,3,3,3,6,5,,0,5660097
Onbekend,Sáinz Daniel,5585252,18,España,Man,2270,Snelwandelaars,17,1,19,167,68,2025-02-14 12:24:20,6,3,9,3,11,1,4,8,9,,0,5585252
Kogelstoten,Turpin Marine,5399436,22,France,Vrouw,5430,Werpers,20,4,18,160,67,2025-02-14 12:41:00,15,14,1,1,2,3,8,10,9,,5000,5399436
Hoogspringen,Adami Spencer,5214966,27,Malta,Man,9140,Springers,20,9,19,188,91,2025-02-14 12:42:14,9,1,2,1,7,15,3,12,10,,1000,5214966
Onbekend,Micallef Eva,5656619,14,Malta,Vrouw,470,Werpers,15,1,16,167,58,2025-02-14 12:43:09,10,7,4,1,0,3,6,6,7,,0,5656619
