MaxID,Exp,Vorm,Zorg,skill 1,skill 2,skill 3,sp1,sp2
60,1,15,8,3,3,2,0,0
60,1,15,6,4,4,3,0,0
60,1,15,7,4,3,3,0,0
60,1,14,9,3,3,2,0,0
60,1,14,9,4,3,2,0,0
60,1,14,8,3,3,2,0,0
60,1,15,8,4,4,3,0,0
60,1,14,7,5,3,3,0,0
60,1,15,6,4,3,3,0,0
60,1,15,6,4,4,3,0,0
60,1,15,8,4,3,2,0,0
60,1,14,6,4,3,3,0,0
60,1,15,7,5,3,3,0,0
60,1,15,6,4,4,2,0,0
60,1,14,9,4,3,2,0,0
60,1,15,6,4,3,3,0,0
60,1,15,7,4,3,3,0,0
60,1,15,6,4,3,3,0,0
60,1,15,9,4,2,2,0,0
60,1,15,9,2,2,2,0,0
60,1,15,6,4,3,3,0,0
60,1,15,6,4,3,3,0,0
60,1,15,9,3,3,2,0,0
60,1,15,9,3,3,2,0,0
60,1,15,7,4,3,3,0,0
60,1,15,7,4,3,2,0,0
60,1,15,8,4,3,3,0,0
60,1,15,7,3,3,2,0,0
60,1,15,6,5,3,2,0,0
60,1,15,6,5,3,2,0,0
60,1,15,8,3,3,3,0,0
60,1,14,8,4,4,3,0,0
60,1,15,8,3,3,3,0,0
60,1,15,8,3,3,3,0,0
60,1,15,6,5,3,2,0,0
60,1,14,9,3,3,3,0,0
60,1,15,7,2,2,1,0,0
60,1,15,8,2,2,2,0,0
60,1,15,8,3,3,2,0,0
60,1,15,6,4,3,2,0,0
60,1,15,6,5,3,3,0,0
60,1,15,7,4,2,2,0,0
60,1,15,7,4,3,3,0,0
60,1,15,7,4,3,3,0,0
60,1,15,8,3,3,2,0,0
60,1,14,8,4,3,3,0,0
60,1,15,8,3,3,2,0,0
60,1,15,7,5,2,2,0,0
60,1,15,8,3,2,1,0,0
60,1,14,8,3,3,2,0,0
60,1,15,6,4,3,3,0,0
60,1,14,8,4,3,2,0,0
60,1,14,6,5,3,3,0,0
60,1,14,9,2,2,2,0,0
60,1,15,6,4,3,3,0,0
70,1,15,8,5,3,2,0,0
70,1,15,7,5,3,1,0,0
70,1,14,8,5,3,2,0,0
70,1,15,6,5,3,2,0,0
70,1,15,9,3,3,3,0,0
70,1,15,9,5,3,3,0,0
70,1,15,9,4,3,2,0,0
70,1,15,6,4,4,3,0,0
70,1,15,10,3,3,3,0,0
70,1,14,10,3,3,3,0,0
70,1,15,9,4,3,2,0,0
70,1,14,7,5,3,3,0,0
70,1,14,7,5,5,3,0,0
70,1,15,10,3,2,2,0,0
70,1,15,9,4,3,2,0,0
70,1,15,9,4,3,2,0,0
70,1,15,7,5,3,3,0,0
70,1,15,10,4,3,2,0,0
70,1,15,8,5,3,3,0,0
70,1,15,10,3,3,2,0,0
70,1,15,8,4,3,3,0,0
70,1,14,10,3,2,2,0,0
70,1,15,9,3,3,3,0,0
70,1,15,10,3,3,3,0,0
70,1,15,7,5,4,3,0,0
70,1,14,8,5,3,3,0,0
70,1,15,6,5,3,3,0,0
70,1,15,10,3,2,2,0,0
70,1,11,9,6,3,2,0,0
70,1,15,6,5,3,2,0,0
70,1,15,6,5,3,2,0,0
70,1,15,9,5,3,3,0,0
70,1,14,10,5,3,2,0,0
70,1,15,7,5,2,2,0,0
70,1,15,8,5,3,3,0,0
70,1,15,9,3,3,3,0,0
70,1,15,9,4,2,2,0,0
80,1,15,6,6,3,2,0,0
80,1,15,6,5,3,3,0,0
80,1,15,10,4,3,3,0,0
80,1,15,10,5,3,2,0,0
80,1,15,9,5,3,2,0,0
80,1,15,6,6,3,3,0,0
80,1,14,9,5,3,2,0,0
80,1,15,10,4,3,1,0,0
80,1,14,10,4,3,2,0,0
80,1,15,8,5,2,2,0,0
80,1,14,10,4,3,3,0,0
80,1,15,9,5,3,2,0,0
80,1,15,7,5,3,2,0,0
80,1,15,9,5,3,3,0,0
80,1,15,10,4,3,3,0,0
80,1,14,8,5,2,2,0,0
80,1,15,9,5,3,3,0,0
80,1,15,7,5,5,3,0,0
80,1,14,10,5,3,2,0,0
80,1,14,6,6,3,2,0,0
80,1,15,7,5,3,3,0,0
80,1,15,8,5,3,2,0,0
80,1,14,10,4,3,3,0,0
80,1,15,9,5,3,2,0,0
80,1,15,10,5,3,2,0,0
80,1,15,9,5,3,3,0,0
80,1,15,10,4,3,2,0,0
80,1,15,10,4,3,3,0,0
80,1,15,6,6,3,3,0,0
80,1,15,10,5,3,3,0,0
80,1,13,6,6,3,3,0,0
80,1,15,7,5,3,1,0,0
80,1,15,10,5,3,2,0,0
80,1,15,8,5,3,2,0,0
80,1,15,8,5,3,3,0,0
80,1,14,9,5,3,3,0,0
80,1,15,10,3,3,3,0,0
80,1,15,10,4,3,3,0,0
80,1,15,9,4,3,2,0,0
80,1,15,10,3,2,2,0,0
90,1,15,8,6,3,3,0,0
90,1,15,10,5,3,3,0,0
90,1,15,7,5,5,2,0,0
90,1,15,7,6,3,3,0,0
90,1,15,6,6,3,3,0,0
90,1,15,10,5,3,3,0,0
90,1,15,11,3,3,2,0,0
90,1,15,8,6,3,1,0,0
90,1,14,6,6,3,3,0,0
90,1,15,10,4,4,3,0,0
90,1,15,8,5,4,4,0,0
90,1,15,11,3,3,3,0,0
90,1,15,10,4,3,2,0,0
90,1,14,6,6,2,2,0,0
90,1,15,11,3,3,2,0,0
90,1,15,7,6,3,3,0,0
90,1,15,9,5,5,4,0,0
90,1,15,11,3,2,2,0,0
90,1,15,11,4,3,3,0,0
90,1,15,6,6,3,3,0,0
90,1,15,10,5,3,2,0,0
90,1,15,10,5,3,2,0,0
90,1,15,6,6,2,2,0,0
90,1,15,9,5,3,3,0,0
90,1,14,8,6,3,3,0,0
90,1,15,6,5,4,3,0,0
90,1,15,6,6,3,2,0,0
90,1,15,6,6,4,3,0,0
90,1,14,9,5,5,4,0,0
90,1,14,6,6,3,3,0,0
90,1,15,9,5,3,3,0,0
90,1,15,10,5,3,3,0,0
90,1,15,8,6,4,3,0,0
90,1,15,8,6,3,3,0,0
90,1,14,6,6,4,3,0,0
100,1,15,11,4,2,2,0,0
100,1,15,8,6,5,3,0,0
100,1,15,9,6,4,3,0,0
100,1,15,10,5,3,3,0,0
100,1,14,7,6,3,3,0,0
100,1,15,8,6,3,3,0,0
100,1,15,7,6,3,2,0,0
100,1,15,8,5,5,4,0,0
100,1,15,9,5,3,3,0,0
100,1,14,7,6,5,3,0,0
100,1,11,10,3,2,2,6,4
100,1,15,8,6,4,3,0,0
100,1,15,11,4,3,2,0,0
100,1,15,7,6,3,3,0,0
100,1,15,10,5,3,3,0,0
100,1,14,8,6,3,3,5,4
100,1,14,7,6,3,3,0,0
